text;ug_relevance_sentence;ug_type;ug_stance;ug_arg;ug_absract_number;;;;;;;;;;;;;;;
The argument for linguistic nativism appears to be solidly supported by the distinctive patterns of generalization that learners adopt in the absence of systematic negative evidence (a limitation that Pullum and Scholz exclude from APS).;0;1;2;1;62;;;;;;;;;;;;;;;
We argue that innate knowledge of how to represent natural language facts is necessary in order for learners to extract from their input the information that it does contain.;0;3;2;1;62;;;;;;;;;;;;;;;
Pullum and Scholz themselves rely on Universal Grammar in just this role when they make specific suggestions as to how learners arrive at the right generalizations.;1;1;2;1;62;;;;;;;;;;;;;;;
This paper aims at reflecting the recent development in Second Language (SL) learning through Chomsky?s principles and parameters in Universal Grammar, as many scholars have their opinions on Chomsky?s theory on universal grammar and have their comments on it.;1;2;2;-1;63;;;;;;;;;;;;;;;
Universal Grammar (UG) proposed by Chomsky (1986) has gained a huge popularity in language and linguistics study.;1;1;2;-1;63;;;;;;;;;;;;;;;
The paper discusses the relevance of Universal Grammar to Second Language Acquisition (SLA) from different aspects: accessibility of UG, L1 and L2 acquisition differences, learning models, poverty of the stimulus argument, and debates on principles and parameters in SLA.;1;3;1;1;63;;;;;;;;;;;;;;;
Then, it addresses the three hypotheses of Universal grammar in Second Language Acquisition (SLA) which focuses on whether adult language learners have access to the principles and parameters of UG in constructing the grammar of a second language.;1;3;-1;-1;63;;;;;;;;;;;;;;;
Moreover, the paper investigates shortcomings of UG in application of SLA, and discuss elaborately on the recent challenges that UG faces in the field of Second language Acquisition (SLA).;1;3;0;1;63;;;;;;;;;;;;;;;
Standard practice in linguistics often obscures the connection between theory and data, leading some to the conclusion that generative linguistics could not serve as the basis for a cognitive neuroscience of language.;0;1;0;-1;64;;;;;;;;;;;;;;;
Here the foundations and methodology of generative grammar are clarified with the goal of explaining how generative theory already functions as a reasonable source of hypotheses about the representation and computation of language in the mind and brain.;0;3;2;1;64;;;;;;;;;;;;;;;
The claims of generative theory, as exemplified, e.g., within Chomsky’s (2000) Minimalist Program, are contrasted with those of theories endorsing parallel architectures with independent systems of generative phonology, syntax and semantics.;0;3;1;-1;64;;;;;;;;;;;;;;;
The single generative engine within Minimalist approaches rejects dual routes to linguistic representations, including possible extra-syntactic strategies for semantic structure-building. ;0;1;2;-1;64;;;;;;;;;;;;;;;
Clarification of the implications of this property of generative theory undermines the foundations of an autonomous psycholinguistics, as established in the 1970’s, and brings linguistic theory back to the center of a unified cognitive neuroscience of language.;0;3;2;-1;64;;;;;;;;;;;;;;;
This study investigates the pervasive influence of Chomsky's Universal Grammar (UG) in the acquisition of second languages across diverse linguistic dimensions.;1;2;2;1;65;;;;;;;;;;;;;;;
Through a systematic literature review, four distinct themes emerged, each shedding light on the intricate interplay between UG and the various aspects of language learning.;1;1;2;1;65;;;;;;;;;;;;;;;
The first theme reveals UG's enduring impact on syntax, as evidenced by consistent patterns of syntactic transfer from native to second languages.;1;1;2;1;65;;;;;;;;;;;;;;;
In the second theme, UG's influence extends to morphological acquisition, guiding the internal structure of words in second languages.;1;1;2;1;65;;;;;;;;;;;;;;;
The third theme explores UG's role in phonological acquisition, uncovering universal principles governing the perceived similarity of sounds.;1;1;2;1;65;;;;;;;;;;;;;;;
The fourth theme delves into higher-level language functions, emphasizing UG's impact on pragmatics and discourse coherence. ;1;1;2;1;65;;;;;;;;;;;;;;;
Collectively, these findings underscore the robust and pervasive nature of UG in shaping second language acquisition, extending its influence beyond traditional linguistic domains.;1;3;2;1;65;;;;;;;;;;;;;;;
The study contributes to a comprehensive understanding of UG's role in guiding learners through the complexities of acquiring syntactic structures, morphological nuances, phonological distinctions, and higher-level language functions in diverse linguistic contexts.;1;3;2;1;65;;;;;;;;;;;;;;;
As language acquisition research advances, the foundational principles of Universal Grammar remain central to unraveling the innate cognitive mechanisms guiding the intricate process of acquiring a second language.;1;3;2;1;65;;;;;;;;;;;;;;;
The wanna facts are a classic Poverty of Stimulus (PoS) problem: wanna is grammatical in certain contexts (Who do you want PRO to play with?) but not others (Who do you want who to play with you?).;-1;1;2;1;66;;;;;;;;;;;;;;;
On a standard analysis, “contraction” to wanna is blocked by some empty constituents (WH-copies) but not others (PRO).;-1;1;-1;-1;66;;;;;;;;;;;;;;;
All empty constituents are inaudible, so it has been unclear how restrictions on them could be learned.;0;1;2;1;66;;;;;;;;;;;;;;;
Children’s reported knowledge of the wanna facts (Crain & Thornton, 1998) has therefore been attributed to a principle of Universal Grammar (UG).;1;1;2;1;66;;;;;;;;;;;;;;;
In two experiments, we demonstrate that children’s use of wanna is not in fact adultlike and that error rates are modulated by the frequency of the embedded verb (play above).;-1;3;0;1;66;;;;;;;;;;;;;;;
These results suggest that if there is a UG principle, children appear not to know that it is relevant, raising important questions about what learning mechanisms enable children to circumvent the input’s apparent poverty.;1;3;1;1;66;;;;;;;;;;;;;;;
Locative inversion in English and Chiche?a shows remarkable similarities which can be explained by hypothesizing the same underlying argument structures and principles for mapping argument structure roles into syntactic functions.;-1;3;2;1;67;;;;;;;;;;;;;;;
"However, the alignment of roles with syntactic categories reflects a profound typological difference between the two languages: Chiche?a categorizes locatives in a gender class system; English, in an abstract case-like system.";-1;3;0;1;67;;;;;;;;;;;;;;;
The resulting syntactic differences defy analyses within a widely-assumed architecture of Universal Grammar and support the alternative adopted by Bresnan & Kanerva 1989.;1;3;0;1;67;;;;;;;;;;;;;;;
Throughout its long history, the project of a science of grammar has always been an inherently philosophical one, in which the study of grammar was taken to have special epistemological significance.;-1;1;-1;-1;68;;;;;;;;;;;;;;;
I ask why 20th and 21st century inquiry into Universal Grammar (UG) has largely lost this dimension, a fact that I argue is partially responsible for the prevailing controversy around UG, relating to its formulation, scope, and biological basis.;1;2;-1;-1;68;;;;;;;;;;;;;;;
This paper argues for a re-conceptualization of this program along ways that answer these criticisms and are more in line with a pre-modern conception of a science of grammar, bringing out its philosophical significance.;-1;3;-1;-1;68;;;;;;;;;;;;;;;
Central to the new conception is the role of grammar in giving human thought a species-specific and uniquely linguistic structural format, consistent with the recent claim that UG primarily constrains the Language of Thought, yet different from it in other ways, such as in stressing the role of grammar in establishing a system of deictic reference, which depends on the externalization of grammar in some physical medium.;1;3;2;1;68;;;;;;;;;;;;;;;
Although UG on the new conception is not the study of linguistic variation but the study of sapiens-specific mode of thought, it cannot be dissolved into the study of thought (or semantics) as such: for the mode of thought in question uniquely takes a grammatical format and grammatical meaning is unavailable either pre-linguistically or lexically.;1;3;2;1;68;;;;;;;;;;;;;;;
This article examines the role of input in two contrasting theories of language acquisition: nativist (UG) theory and the usage-based (emergentist) approach.;1;2;1;-1;69;;;;;;;;;;;;;;;
Although extensive treatments of input are available for first language acquisition (cf. Gathercole & Hoff, 2007), such research rarely incorporates findings from second language acquisition.;-1;1;-1;-1;69;;;;;;;;;;;;;;;
Accordingly, this paper examines a range of linguistic phenomena from both first and second language contexts (e.g., yes-no question formation, constraints on want-to contraction) in order to illustrate how each theory might explain their acquisition.;0;2;-1;-1;69;;;;;;;;;;;;;;;
The discussion of input presented here addresses various constructs, including the problem of the poverty of the stimulus, the lack of negative evidence, the role of indirect (missing) evidence, recovery from overgeneralization, and frequency effects.;0;2;-1;-1;69;;;;;;;;;;;;;;;
The article concludes with a reappraisal of the poverty of the stimulus problem in SLA from a usage-based perspective.;-1;3;1;-1;69;;;;;;;;;;;;;;;
Many generalizations are impossible to learn via primary linguistic data, so they are assumed to be part of our genetic endowment.;0;1;2;1;70;;;;;;;;;;;;;;;
Generativists have tried to reduce Universal Grammar (UG) to a minimum, in particular by appealing to computational efficiency.;1;1;-1;-1;70;;;;;;;;;;;;;;;
In principle, this is an important improvement.;-1;3;-1;-1;70;;;;;;;;;;;;;;;
The bottom line, however, is how well this computational approach explains the data.;-1;1;1;1;70;;;;;;;;;;;;;;;
Unfortunately, it does not.;-1;3;0;1;70;;;;;;;;;;;;;;;
Thus current analyses of subject–AUX inversion still appeal implicitly to several UG constraints in addition to structure dependence.;1;3;2;1;70;;;;;;;;;;;;;;;
Moreover, this fails empirically even in the wildest cases, such as forming questions by reversing the word order of a declarative.;1;3;0;1;70;;;;;;;;;;;;;;;
Fortunately, there is a way out of this impasse.;-1;3;-1;-1;70;;;;;;;;;;;;;;;
Learners realize that different orders of constituents correlate with different meanings.;-1;3;0;1;70;;;;;;;;;;;;;;;
Generating Tense in Comp compositionally derives a polar interrogative interpretation.;-1;3;0;1;70;;;;;;;;;;;;;;;
The logically prior properties of the perceptual and conceptual systems impose constraints that are sufficient to explain language acquisition.;0;3;0;1;70;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
